Region,Mean,Max,Min
L-V1,0.4308715771577768,1.9794566631317143,-9.139748551797269e-17
L-MST,0.7634828565410583,1.6792089939117434,-2.935312082137746e-17
L-V6,0.38131253461567743,1.560573816299439,-3.435112338569301e-17
L-V2,0.5361950813955183,2.1688542366027828,-1.0194387805431378e-16
L-V3,0.6207243317552295,2.0854244232177743,-1.4651223640546132e-16
L-V4,0.5899111901238981,1.9809893369674687,-6.529400350684805e-17
L-V8,0.5216053396299465,1.0502048730850224,-6.082983407126037e-17
L-4,0.26043655170969526,0.7824829816818238,-5.893756705565126e-17
L-3b,0.293505229791849,0.8560560345649723,-2.5883967149002215e-17
L-FEF,0.26945680562951335,0.5717432498931887,-1.4553251180670146e-17
L-PEF,0.24302289800690197,0.47583538293838523,-1.1033215017456966e-17
L-55b,0.2278629499742674,0.5444954037666321,-3.392593348239441e-17
L-V3A,0.825480999229204,2.2213199138641366,-8.385922086372272e-17
L-RSC,0.3389199879135738,0.9406694769859317,-4.279648928195353e-17
L-POS2,0.65316025748582,1.3229924440383916,-1.297650774168061e-16
L-V7,1.0961027269814607,1.9009096622467043,-1.0189129260941326e-16
L-IPS1,0.7287362700393455,1.7015372514724734,-1.2391513858139209e-16
L-FFC,0.5334310588986079,1.1840989589691169,-5.99057863565238e-17
L-V3B,0.7413533599431453,1.3040125370025637,-2.7512494115381168e-17
L-LO1,0.5376384347863986,1.5679312944412234,-3.541132243401826e-17
L-LO2,0.637450396264312,1.9788928031921391,-5.965286639265369e-17
L-PIT,0.6092151135667312,1.509597301483155,-7.541477752116598e-17
L-MT,0.7294885266669877,1.841752648353577,-1.034379698110906e-16
L-A1,0.26861145188179053,0.586935579776764,-1.6616878021292115e-17
L-PSL,0.5335133527176001,1.2149882316589355,-4.5850813156091545e-17
L-SFL,0.14145568214285884,0.36003118753433233,-1.7935764157097876e-17
L-PCV,0.43936360317171486,1.042644023895264,-6.600614529044705e-17
L-STV,0.6014857645342429,1.3331339359283447,-1.0785822619719995e-16
L-7Pm,0.47423456267420006,1.2764075994491582,-2.7018768680875194e-17
L-7m,0.5548349333439632,1.2825527191162112,-4.6445246293105715e-17
L-POS1,0.3881662985029049,1.0311591625213625,-4.474215544335639e-17
L-23d,0.30522846427855893,0.6127302050590516,-2.5109804532432482e-17
L-v23ab,0.47598068158890094,0.9364427924156191,-5.56288565122988e-17
L-d23ab,0.4576919127625093,0.9167692661285404,-2.739434234870623e-17
L-31pv,0.36094163251084926,0.8570911884307865,-2.4564273423343894e-17
L-5m,0.3397365472931157,0.9446579217910769,-4.325725394137251e-17
